anquancaozuo 安全操作
dongtaicunchuguanli 动态存储管理
dongtaicunchuqi 动态存储器
dongtaicuowu 动态错误
dongtaidizhizhuanhuan 动态地址转换
dongtaidiaodu 动态调度
dongtaifangzhen 动态仿真
dongtaifenpei 动态分配
dongtaifenxi 动态分析
dongtaifenxiqi 动态分析器
dongtaiguihua 动态规划
dongtaihuanchong 动态缓冲
dongtaihuanchongqu 动态缓冲区
dongtaijiyi 动态记忆
dongtaikongzhi 动态控制
dongtailianjieku 动态链接库
dongtailiushuixian 动态流水线
dongtaimaoxian 动态冒险
dongtainiuxie 动态扭斜
dongtairongyu 动态冗余
dongtaishuaxin 动态刷新
dongtaisuijicunchuqi 动态随机存储器
dongtaitingji 动态停机
dongtaiwangluo 动态网络
dongtaiwucha 动态误差
dongtaixianshi 动态显示
dongtaiyouxianji 动态优先级
dongtaiyuming 动态域名
dongtaiyumingjiexi 动态域名解析
dongtaizhongdingwei 动态重定位
dongtaizhonggou 动态重构
dongtaizhuanyiyuce 动态转移预测
dongtaiziyuanfenpei 动态资源分配
dongzuoguize 动作规则
doudong 抖动
dulichengxu 独立程序
dulixingguzhang 独立型故障
duchudianlu 读出电路
duchushijian 读出时间
duchuxian 读出线
dufangwen 读访问
dufangdaqi 读放大器
duhouxie 读后写
dujunheng 读均衡
duqu 读取
durenwu 读任务
duruyuanyu 读入原语
dushujuxian 读数据线
dusuo 读锁
duxie 读写
duxiekong 读写孔
duxiezhouqi 读写周期
duxinhao 读信号
duxuanzexian 读选择线
duzaosheng 读噪声
duliang 度量
duliangkongjian 度量空间
duandian 端点
duandianbianma 端点编码
duanduanjiami 端端加密
duanduanmiyao 端端密钥
duanduiduanchuansong 端对端传送
duanjie 端接
duanjiedianya 端接电压
duanjiedianyuan 端接电源
duanjieqi 端接器
duanxitong 端系统
duanqidiaodu 短期调度
duanbiao 段表
duanbiaodizhi 段表地址
duanchangdu 段长度
duandizhi 段地址
duanfugai 段覆盖
duanhao 段号
duanshicunchuxitong 段式存储系统
duanshoudazi 段首大字
duansuo 段锁
duantijiaoxieyi 段提交协议
duanyingshe 段映射
duandiankaiguan 断点开关
duankai 断开
duanluguzhang 断路故障
duanluqi 断路器
duanluweizhi 断路位置
duanyan 断言
duipaixu 堆排序
duilie 队列
duiliebiao 队列表
duiliekongzhikuai 队列控制块
duibiducaozong 对比度操纵
duibidukuozhan 对比度扩展
duibilingmindu 对比灵敏度
duicefangzhen 对策仿真
duicelun 对策论
duichengcaozuoxitong 对称操作系统
duichengchuanshuxian 对称传输线
duichengmima 对称密码
duichengmimaxitong 对称密码系统
duideng 对等
duidipingheng 对地平衡
duihuakongzhikuai 对话控制块
duihuamoxing 对话模型
duihuaxitong 对话系统
duihuan 对换
duihuanbiao 对换表
duihuanchengxu 对换程序
duihuanfangshi 对换方式
duihuanji 对换集
duihuanshijian 对换时间
duihuanyouxianji 对换优先级
duijiaohuafangfa 对角化方法
duijiaoxianceshi 对角线测试
duiliu 对流
duiouchanshengqi 对偶产生器
duiouwang 对偶网
duiouyuanli 对偶原理
duiouyunsuan 对偶运算
duiqi 对齐
duixiangbiaoshifu 对象标识符
duixiangguanlijiegou 对象管理结构
duixiangguanlizu 对象管理组
duixiangjianmo 对象建模
duixiangjianmojishu 对象建模技术
duixianglianjie 对象连接
duixiangming 对象名
duixiangmoxing 对象模型
duixiangshi 对象式
duixiangshifangfa 对象式方法
duixiangshifenxi 对象式分析
duixiangshisheji 对象式设计
duixiangshiyuyan 对象式语言
duixiangtu 对象图
duixiangyinyong 对象引用
duixiangzidian 对象字典
duiyingdian 对应点
duizhunwangluo 对准网络
duobianxingcaijian 多边形裁剪
duobianxingchuangkou 多边形窗口
duobianxingfenjie 多边形分解
duobianxingmianpian 多边形面片
duobianxingquxiang 多边形取向
duobianliangkongzhiqi 多变量控制器
duobianpaixu 多遍排序
duobiaojishu 多标记树
duobo 多播
duobozhuganwang 多播主干网
duocelvexieshang 多策略协商
duocengmoshi 多层模式
duocengyinzhiban 多层印制板
duochengxu 多程序
duochidufenxi 多尺度分析
duochuliji 多处理机
duochulijicaozuoxitong 多处理机操作系统
duochulijixitong 多处理机系统
duochuliqi 多处理器
duochuliqidiaodu 多处理器调度
duochuliqifenpei 多处理器分配
duodaitulingji 多带图灵机
duodaochengxu 多道程序
duodaochengxufenpai 多道程序分派
duodaochengxusheji 多道程序设计
duodizhijisuanji 多地址计算机
duodian 多点
duodianbiaoji 多点标记
duodianerjinzhiwenjianchuansong 多点二进制文件传送
duodianhuiyi 多点会议
duodianjihao 多点记号
duodiankongzhiqi 多点控制器
duodianlianjie 多点连接
duodianluyou 多点路由
duodiantongxin 多点通信
duodiantongxinfuwu 多点通信服务
duoduankoucunchuqi 多端口存储器
duoduiduolianxi 多对多联系
duoduixiang 多对象
duoduiyilianxi 多对一联系
duofenbianlv 多分辨率
duoguzhang 多故障
duoji 多级
duojianquan 多级安全
duojifankui 多级反馈
duojifankuiduilie 多级反馈队列
duojigaosuhuancun 多级高速缓存
duojimoni 多级模拟
duojishebei 多级设备
duojiwangluo 多级网络
duojiyouxianjizhongduan 多级优先级中断
duojizhongduan 多级中断
duojisuanji 多计算机
duojisuanjixitong 多计算机系统
duojincheng 多进程
duoleiluoji 多类逻辑
duolianlu 多链路
duolu 多路
duolufenpeiqi 多路分配器
duolutuili 多路推理
duoluzhuanhuantongdao 多路转换通道
duomeiti 多媒体
duomeitibianmushujuku 多媒体编目数据库
duomeitigerenjisuanji 多媒体个人计算机
duomeitihuiyi 多媒体会议
duomeitijisuanji 多媒体计算机
duomeitijishu 多媒体技术
duomeitikuozhan 多媒体扩展
duomeitishujubanbenguanli 多媒体数据版本管理
duomeitishujucunchuguanli 多媒体数据存储管理
duomeitishujujiansuo 多媒体数据检索
duomeitishujuku 多媒体数据库
duomeitishujuleixing 多媒体数据类型
duomeitishujumoxing 多媒体数据模型
duomeititongxin 多媒体通信
duomeitixitong 多媒体系统
duomeitiyewu 多媒体业务
duominuoxiaoying 多米诺效应
duomianticaijian 多面体裁剪
duomiantijianhua 多面体简化
duomiantimoxing 多面体模型
duomoshijiekou 多模式接口
duoquheiban 多区黑板
duorenwu 多任务
duorenwuchuli 多任务处理
duorenwuguanli 多任务管理
duoshuju 多数据
duoshujuliu 多数据流
duoshujuedingmen 多数决定门
duotaibianchengyuyan 多态编程语言
duotaixing 多态性
duotongdao 多通道
duotongdaochuanshu 多通道传输
duotoutulingji 多头图灵机
duoweicunqu 多维存取
duoweifenxi 多维分析
duoweishujujiegou 多维数据结构
duoweitulingji 多维图灵机
duowenzhongcaozuoxitong 多文种操作系统
duowenzhongxinxichuli 多文种信息处理
duoxiancheng 多线程
duoxianchengchuli 多线程处理
duoxieyi 多协议
duoxindianlan 多芯电缆
duoxinpianmokuai 多芯片模块
duoyikeguixing 多一可归性
duoyi 多义
duoyiwenfa 多义文法
duoyonghu 多用户
duoyonghucaozuoxitong 多用户操作系统
duoyonghukongzhi 多用户控制
duoyonghuxitong 多用户系统
duoyouxianji 多优先级
duoyuzhongchuliji 多语种处理机
duoyuzhongfanyi 多语种翻译
duozhiluoji 多值逻辑
duozhiyilai 多值依赖
duozhi 多址
duozhifangwen 多址访问
duozhiling 多指令
duozhilingfashe 多指令发射
duozhongduan 多终端
duozhong 多重
duozhongchengxuzhuangru 多重程序装入
duozhongchuli 多重处理
duozhongchulicaozuoxitong 多重处理操作系统
duozhongcunqucunchuqi 多重存取存储器
duozhongguanxi 多重关系
duozhongji 多重集
duozhongyichang 多重异常
duozhouqishixian 多周期实现
duozijie 多字节
duozijietuxingzifuji 多字节图形字符集
duozongxian 多总线
duozuoye 多作业
duozuoyechuli 多作业处理
edingdianya 额定电压
edingfuzai 额定负载
ewaicidao 额外磁道
ewaishanqu 额外扇区
eyiluoji 恶意逻辑
eyiruanjian 恶意软件
erjigaosuhuancun 二级高速缓存
erjimiyao 二级密钥
erjinzhi 二进制
erjinzhidaduixiang 二进制大对象
erjinzhidanyuan 二进制单元
erjinzhishuzi 二进制数字
erjinzhiyunsuan 二进制运算
erjinzhizifu 二进制字符
erluguibing 二路归并
ernantuili 二难推理
eryuanguanxi 二元关系
eryuanyufa 二元语法
eryuanyujieshi 二元预解式
erzhituxiang 二值图像
fashengquan 发生权
faxianliu 法线流
fanyichengxu 翻译程序
fanyiqi 翻译器
fantizi 繁体字
fanbianyichengxu 反编译程序
fanbianyiqi 反编译器
fanchong 反冲
fanchuanwangluo 反传网络
fandu 反读
fanhuibianchengxu 反汇编程序
fankuibianjihe 反馈边集合
fankuikongzhi 反馈控制
fanli 反例
fanma 反码
fanqietingzhuangzhi 反窃听装置
fanshedianya 反射电压
fanshedinglv 反射定律
fanshelv 反射率
fansheti 反射体
fanshexishu 反射系数
fantouyingsuanzi 反投影算子
fanxiangfuyong 反向复用
fanxianghuifu 反向恢复
fanxiangtuili 反向推理
fanxiangxindao 反向信道
fanxuliehua 反序列化
fanyilai 反依赖
fanyituili 反绎推理
fanyingzhuti 反应主体
fanhuihuifu 返回恢复
fanhuilujing 返回路径
fanguanxi 泛关系
fanguang 泛光
fanheyi 泛合一
fanhua 泛化
fanlan 泛滥
fanchou 范畴
fanchoufenxi 范畴分析
fanchouyufa 范畴语法
fanlibiaoshi 范例表示
fanlijiansuo 范例检索
fanlijiansuowang 范例检索网
fanlijiegou 范例结构
fanliku 范例库
fanlixiuzheng 范例修正
fanliyanzheng 范例验证
fanlizhongcun 范例重存
fanlizhongyong 范例重用
fanshi 范式
fanweijiexian 范围界限
fangfaku 方法库
fangfaming 方法名
fangfaneibulei 方法内部类
fangxiangxiangliang 方向向量
fangyanxue 方言学
fangbingdu 防病毒
fangbingduchengxu 防病毒程序
fanghuoqiang 防火墙
fangqieting 防窃听
fangxinxixielou 防信息泄漏
fangyichengxu 防疫程序
fangshebianhuan 仿射变换
fangsongti 仿宋体
fangxingkongzhiqi 仿形控制器
fangzhen 仿真
fangzhenchengxu 仿真程序
fangzhenjisuanji 仿真计算机
fangzhenqi 仿真器
fangzhenzhongduan 仿真终端
fangwenbiao 访问表
fangwenchongtu 访问冲突
fangwenfanchou 访问范畴
fangwengongxiang 访问共享
fangwenjibie 访问级别
fangwenjubuxing 访问局部性
fangwenjushouxing 访问局守性
fangwenjuzhen 访问矩阵
fangwenkongzhi 访问控制
fangwenkongzhiziduan 访问控制字段
fangwenleixing 访问类型
fangwenquan 访问权
fangwenshouquan 访问授权
fangwentequan 访问特权
fangwenxuke 访问许可
fangwenzhouqi 访问周期
fangqixulie 放弃序列
fangshexinghesu 放射性核素
fangsuo 放缩
feibiranxing 非必然性
feichangguibianma 非常规编码
feichengzibujian 非成字部件
feidandiaotuili 非单调推理
feiduicheng 非对称
feiduichengmima 非对称密码
feiduichengmimaxitong 非对称密码系统
feiguochengyuyan 非过程语言
feijidashiyinshuaji 非击打式印刷机
feijisuanyanchi 非计算延迟
feijiaohuanlianjie 非交换连接
feijunyunyouli 非均匀有理
feiliuxing 非流形
feiliuxingzaoxing 非流形造型
feimen 非门
feimimixing 非秘密性
feipinghengshu 非平衡树
feiqiangxiandiaodu 非抢先调度
feiqingqiufenye 非请求分页
feiquebaocaozuo 非确保操作
feiquedingjisuan 非确定计算
feishibiexing 非识别型
feite 非特
feixianxing 非线性
feixianzhiwenfa 非限制文法
fenbianlv 分辨率
fenbiebianyi 分别编译
fenbudengdaitu 分布等待图
fenbudianrong 分布电容
fenbufuzai 分布负载
fenbumoshi 分布模式
fenbushicaozuoxitong 分布式操作系统
fenbushichengxusheji 分布式程序设计
fenbushicunchuqi 分布式存储器
fenbushidingxusuanfa 分布式定序算法
fenbushiduilieshuangzongxian 分布式队列双总线
fenbushiduixiangjisuan 分布式对象计算
fenbushiduixiangjishu 分布式对象技术
fenbushijisuan 分布式计算
fenbushipaixu 分布式排序
fenbushipaixusuanfa 分布式排序算法
fenbushirongcuo 分布式容错
fenbushisuanfa 分布式算法
fenbushiwang 分布式网
fenbushixitong 分布式系统
fenbushiyingyong 分布式应用
fenbutoumingxing 分布透明性
fencaohuanwang 分槽环网
fenceng 分层
fencengjiance 分层检测
fencha 分叉
fenci 分词
fencidanwei 分词单位
fenduan 分段
fenfaxingyewu 分发型业务
fenfayingyong 分发应用
fenge 分割
fengeanquan 分隔安全
fenjiguanli 分级管理
fenjikongzhi 分级控制
fenjiwang 分级网
fenjietou 分接头
fenjie 分解
fenjiexiediao 分解协调
fenlei 分类
fenleiqi 分类器
fenlidianlu 分立电路
fenliyuanjian 分立元件
fenliang 分量
fenpai 分派
fenpaibiao 分派表
fenpaichengxu 分派程序
fenpaiyouxianji 分派优先级
fenpeidanwei 分配单位
fenpeimoshi 分配模式
fenpianmoshi 分片模式
fenpiantouming 分片透明
fenqu 分区
fenqubiao 分区表
fensangeshi 分散格式
fensankongzhi 分散控制
fensanshichuli 分散式处理
fensanzhuangru 分散装入
fenshi 分时
fenshicaozuoxitong 分时操作系统
fenshichuli 分时处理
fenshidiaodu 分时调度
fenshiyouxianji 分时优先级
fenxigongji 分析攻击
fenxijieduan 分析阶段
fenximoxing 分析模型
fenxishuxing 分析属性
fenxixuexi 分析学习
fenxing 分形
fenxingbianma 分形编码
fenxingjihe 分形几何
fenye 分页
fenyechengxu 分页程序
fenzhi 分支
fenzhidianlan 分支电缆
fenzhixian 分支线
fenzhixianjie 分支限界
fenzhizhiling 分支指令
fenzuceng 分组层
fenzuchangdu 分组长度
fenzuchuansong 分组传送
fenzujiaohuangongyongshujuwang 分组交换公用数据网
fenzumima 分组密码
fenzushizhongduan 分组式终端
fenzuzhuangchaiqi 分组装拆器
fengxianfenxi 风险分析
fengxianjieshou 风险接受
fengxianpinggu 风险评估
fengxianrongren 风险容忍
fengxianzhishu 风险指数
fengsuolidu 封锁粒度
fengzhuang 封装
fengzhuangkekaoxing 封装可靠性
fengzhuanglei 封装类
fengweipiaoyi 峰位漂移
fengzhijiance 峰值检测
fengfangfa 冯方法
fengmoxing 冯模型
fuwubitelv 服务比特率
fuwuchengxu 服务程序
fuwuduilie 服务队列
fuwufaqizhe 服务发起者
fuwufangwendian 服务访问点
fuwujiankongchengxu 服务监控程序
fuwujierudian 服务接入点
fuwujieshouzhe 服务接受者
fuwujincheng 服务进程
fuwulicheng 服务例程
fuwuqi 服务器
fuwuqimoxing 服务器模型
fuwuqingqiukuai 服务请求块
fuwuqingqiuzhongduan 服务请求中断
fuwushujudanyuan 服务数据单元
fuwuyuanyu 服务原语
fuwuzhiliang 服务质量
fudianbiaozhun 浮点标准
fudianchulidanyuan 浮点处理单元
fudianjisuanji 浮点计算机
fudianshu 浮点数
fudianyunsuan 浮点运算
fudongcitou 浮动磁头
fudongkuai 浮动块
fuhaobianma 符号编码
fuhaofenxi 符号分析
fuhaojianganrao 符号间干扰
fuhaoluoji 符号逻辑
fuhaoshebei 符号设备
fuhaowenjian 符号文件
fuhaoyansuan 符号演算
fuhaoyuyan 符号语言
fuhaozhixing 符号执行
fuhaozhineng 符号智能
fuhetingji 符合停机
fudufenge 幅度分割
fudujiance 幅度检测
fuzhiyudu 幅值裕度
fushe 辐射
fushedufangfa 辐射度方法
fuzhucunchuqi 辅助存储器
fuzhuduan 辅助段
fuzhuji 辅助集
fuzhupingmian 辅助平面
fuzhurenwu 辅助任务
fuzhusuoyin 辅助索引
fushi 腐蚀
fushiqiege 腐蚀切割
fuluoji 负逻辑
fuyan 负沿
fuyuebian 负跃变
fuzai 负载
fuzaidianzu 负载电阻
fuzaiduan 负载端
fuzaiguize 负载规则
fuzaixiantu 负载线图
fujiarenwu 附加任务
fujiaweixiu 附加维修
fujiawendang 附加文档
fushuchuliqi 附属处理器
fudandaxue 复旦大学
fudandaxuechubanshe 复旦大学出版社
fudandaxueruanjianxueyuan 复旦大学软件学院
fuhe 复合
fuhebiaoji 复合标记
fuhebiaoshi 复合标识
fuhecidai 复合磁带
fuhekongzhi 复合控制
fuhexulie 复合序列
fuwei 复位
fuweimaichong 复位脉冲
fuweixulie 复位序列
fuxing 复形
fuyongqi 复用器
fuyuanqingqiu 复原请求
fuzashiwu 复杂事务
fuzashujuleixing 复杂数据类型
fuzatezhengji 复杂特征集
fuzaxing 复杂性
fuzaxinglei 复杂性类
fuzazhilingji 复杂指令集
fuzhi 复执
fuzhibaohu 复制保护
fuben 副本
fukongtai 副控台
fuluoji 赋逻辑
fuzhi 赋值
fuzhiyuju 赋值语句
fugai 覆盖
fugaibiaoshi 覆盖标识
fugaiceshi 覆盖测试
gaijindiaopin 改进调频
gaishanxingweihu 改善性维护
gaizhengxinghuodong 改正性活动
gailv 概率
gailvceshi 概率测试
gailvchuanbo 概率传播
gailvfenbu 概率分布
gailvfenxi 概率分析
gailvhanshu 概率函数
gailvhu 概率弧
gailvjiami 概率加密
gailvluoji 概率逻辑
gailvmidu 概率密度
gailvmoxing 概率模型
gailvsongchifa 概率松弛法
gailvsuanfa 概率算法
gailvtuili 概率推理
gailvxitong 概率系统
gailvxiaozheng 概率校正
gainiancidian 概念词典
gainianfaxian 概念发现
gainianfenlei 概念分类
gainianfenxi 概念分析
gainianhuoqu 概念获取
gainianjiansuo 概念检索
gainianjiedian 概念结点
gainianku 概念库
gainianmoshi 概念模式
gainianmoxing 概念模型
gainiantu 概念图
gainianxiangguan 概念相关
gainianxuexi 概念学习
gainianyicun 概念依存
gainianyilai 概念依赖
gainianyinsu 概念因素
gaiyaosheji 概要设计
ganyingtongbuqi 感应同步器
ganzhi 感知
ganzhiji 感知机
gaobaozhen 高保真
gaocengdiaodu 高层调度
gaodupinghengshu 高度平衡树
gaoduancunchukuai 高端存储块
gaoduancunchuqu 高端存储区
gaoguang 高光
gaojiyuyan 高级语言
gaojieluoji 高阶逻辑
gaojieyuyan 高阶语言
gaokuanbi 高宽比
gaomiduruanpan 高密度软盘
gaomiduzhuangpei 高密度装配
gaomiduzuzhuang 高密度组装
gaopin 高频
gaosuhuanchongcunchuqi 高速缓冲存储器
gaosuhuancun 高速缓存
gaosuhuancunkuai 高速缓存块
gaosuhuancunyizhixing 高速缓存一致性
gaosuzongxian 高速总线
gaotonglvbo 高通滤波
